Summary Statistics for Numerical Columns:
       ordered_quantity  unit_selling_price  unit_list_price
count      16164.000000        16164.000000     16164.000000
mean           1.592737            1.051557         1.136979
std            1.613299            0.836838         0.861794
min            1.000000            0.000000         0.211500
25%            1.000000            0.743000         0.811000
50%            1.000000            0.932500         1.013500
75%            2.000000            1.207500         1.284000
max           60.000000           45.045000        45.045000
