,operating_unit_name,ecom_reference_order_number,ordered_item,ordered_quantity,unit_selling_price,unit_list_price,ordered_date,tax_code,product_id,product_name,product_category
33,Ch. Sarraf BU FMCG,399244,1113,1,1.5405,1.5405,2024-02-16,REVENUE VAT FMCG 11%,1113,koleston naturals black 2,['Permanent']
34,Ch. Sarraf BU FMCG,395926,1113,1,1.5405,1.5405,2024-01-10,REVENUE VAT FMCG 11%,1113,koleston naturals black 2,['Permanent']
35,Ch. Sarraf BU FMCG,397291,1113,1,1.5405,1.5405,2024-01-30,REVENUE VAT FMCG 11%,1113,koleston naturals black 2,['Permanent']
36,Ch. Sarraf BU FMCG,395132,1117,2,1.4595,1.4595,2024-01-04,REVENUE VAT FMCG 11%,1117,koleston naturals red devotion 5,['Permanent']
37,Cosmaline Local,400522,119901,1,0.2265,0.2525,2024-03-02,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
38,Cosmaline Local,400522,119901,1,0.2265,0.2525,2024-03-02,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
39,Cosmaline Local,400522,119901,1,0.2265,0.2525,2024-03-02,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
40,Cosmaline Local,400522,119901,1,0.2265,0.2525,2024-03-02,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
41,Cosmaline Local,400500,119901,4,0.2525,0.2525,2024-03-02,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
42,Cosmaline Local,400503,119901,1,0.2145,0.2525,2024-03-02,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
43,Cosmaline Local,400503,119901,1,0.2145,0.2525,2024-03-02,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
44,Cosmaline Local,400503,119901,2,0.2145,0.2525,2024-03-02,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
45,Cosmaline Local,401316,119901,4,0.2145,0.2525,2024-03-13,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
