ShprNo,AWB,Delivery_Date,CODAmount,CODCurrency,O_CODAmount,Aramex_Inv_date,TOKENNO,order_number
11150.0,8596268839,2024-03-01,0.0,USD,7.75,2024-03-05,0603245MM,400438.0
11150.0,8596268840,2024-03-01,0.0,USD,5.195,2024-03-05,0603245MM,400439.0
11150.0,8596268842,2024-03-01,0.0,USD,2.25,2024-03-05,0603245MM,400441.0
11150.0,8596268843,2024-03-01,0.0,USD,12.55,2024-03-05,0603245MM,400442.0
11150.0,8596268844,2024-03-01,0.0,USD,2.25,2024-03-05,0603245MM,400443.0
11150.0,8596268846,2024-03-01,0.0,USD,48.73,2024-03-05,0603245MM,400445.0
11150.0,8596268847,2024-03-01,0.0,USD,34.71,2024-03-05,0603245MM,400446.0
11150.0,8596268851,2024-03-01,0.0,USD,15.205,2024-03-05,0603245MM,400450.0
11150.0,8596268852,2024-03-01,0.0,USD,6.97,2024-03-05,0603245MM,400451.0
11150.0,8596268853,2024-03-01,0.0,USD,8.73,2024-03-05,0603245MM,400452.0
11150.0,8596268855,2024-03-01,0.0,USD,3.85,2024-03-05,0603245MM,400454.0
11150.0,8596268856,2024-03-01,0.0,USD,15.225,2024-03-05,0603245MM,400455.0
11150.0,8596268858,2024-03-01,0.0,USD,7.35,2024-03-05,0603245MM,400457.0
11150.0,8596268861,2024-03-01,0.0,USD,12.9,2024-03-05,0603245MM,400460.0
11150.0,8596268868,2024-03-01,0.0,USD,5.33,2024-03-05,0603245MM,400467.0
11150.0,8596268737,2024-03-02,0.0,USD,9.37,2024-03-05,0603245MM,400336.0
11150.0,8596268739,2024-03-02,0.0,USD,3.425,2024-03-05,0603245MM,400338.0
11150.0,8596268742,2024-03-02,0.0,USD,9.52,2024-03-05,0603245MM,400341.0
11150.0,8596268761,2024-03-02,0.0,USD,30.895,2024-03-05,0603245MM,400360.0
11150.0,8596268763,2024-03-02,0.0,USD,6.7,2024-03-05,0603245MM,400362.0
11150.0,8596268775,2024-03-02,0.0,USD,17.35,2024-03-05,0603245MM,400374.0
11150.0,8596268789,2024-03-02,0.0,USD,7.91,2024-03-05,0603245MM,400388.0
