date,total_amount
2023-11-01,42.4950008392334
2023-11-02,220.56999921798706
2023-11-03,133.61500072479248
2023-11-04,290.7849988937378
2023-11-05,72.43999910354614
2023-11-06,32.910000801086426
2023-11-07,89.46500205993652
2023-11-09,98.70000123977661
2023-11-10,34.88999938964844
2023-11-11,12.414999961853027
2023-11-12,122.27999877929688
2023-11-13,15.085000038146973
2023-11-14,49.75499892234802
2023-11-17,50.19000053405762
2023-11-18,27.40999984741211
2023-11-19,98.45000076293945
2023-11-20,55.90500092506409
2023-11-21,41.62000036239624
2023-11-22,84.19499778747559
2023-11-23,75.24000072479248
2023-11-24,1249.3999981880188
2023-11-25,1931.1350047588348
2023-11-26,3453.2500035762787
2023-11-27,834.8249981403351
2023-11-28,908.1449973583221
2023-11-29,992.1699976921082
2023-11-30,603.1149994134903
2023-12-01,929.3949981927872
2023-12-02,894.2649998664856
2023-12-03,1003.0199990272522
2023-12-04,1169.7450020313263
2023-12-05,936.2650027275085
2023-12-06,1172.8749947547913
2023-12-07,1407.7799925804138
2023-12-08,1093.9899988174438
2023-12-09,1165.8950011730194
2023-12-10,1141.185004234314
2023-12-11,1383.7400034666061
2023-12-12,2145.595001578331
2023-12-13,1735.5449922084808
2023-12-14,1411.8849964141846
2023-12-15,1307.3050006628036
2023-12-16,1306.8050019741058
2023-12-17,1373.4499994516373
2023-12-18,1430.2449972629547
2023-12-19,1018.8199942111969
2023-12-20,1422.6550068855286
2023-12-21,906.4449989795685
2023-12-22,917.3000037670135
2023-12-23,868.0650038719177
2023-12-24,624.9399919509888
2023-12-25,504.9350001811981
2023-12-26,1049.5900007486343
2023-12-27,1226.6350073814392
2023-12-28,1422.7049975395203
2023-12-29,971.774998664856
2023-12-30,822.085001707077
2023-12-31,505.57499957084656
2024-01-01,643.724999666214
2024-01-02,1147.7100021839142
2024-01-03,1108.190004825592
2024-01-04,1043.3200023174286
2024-01-05,815.395001411438
2024-01-06,1129.2150053977966
2024-01-07,1048.9649925231934
2024-01-08,867.2649970054626
2024-01-09,834.685001373291
2024-01-10,1065.1499972343445
2024-01-11,983.2450077533722
2024-01-12,880.3500003814697
2024-01-13,1078.0050022602081
2024-01-14,1064.9250020980835
2024-01-15,1060.2350029945374
2024-01-16,946.794998884201
2024-01-17,1337.0550075769424
2024-01-18,1018.8250031471252
2024-01-19,925.0400061607361
2024-01-20,1281.620004415512
2024-01-21,1527.0049936771393
2024-01-22,673.1550016403198
2024-01-23,876.720000743866
2024-01-24,1556.9300031661987
2024-01-25,1769.8499977588654
2024-01-26,784.1700019836426
2024-01-27,1012.3000011444092
2024-01-28,1018.8299968242645
2024-01-29,1139.6399989128113
2024-01-30,1793.1150014400482
2024-01-31,1632.47500705719
2024-02-01,845.14000248909
2024-02-02,1173.3750066757202
2024-02-03,891.1350028514862
2024-02-04,935.7200000286102
2024-02-05,1287.5250034332275
2024-02-06,843.5649943351746
2024-02-07,799.7900009155273
2024-02-08,716.8350032567978
2024-02-09,979.7549984455109
2024-02-10,916.0699937343597
2024-02-11,678.3449983596802
2024-02-12,995.9749972820282
2024-02-13,788.8250012397766
2024-02-14,811.8850070238113
2024-02-15,1371.2850003242493
2024-02-16,1900.4250004291534
2024-02-17,707.4050016403198
2024-02-18,580.4000017642975
2024-02-19,887.6700024604797
2024-02-20,810.1949974298477
2024-02-21,1045.4050045013428
2024-02-22,849.8050018548965
2024-02-23,808.6649959087372
2024-02-24,585.3950004577637
2024-02-25,874.4649946689606
2024-02-26,1415.9399905204773
2024-02-27,1389.1049959659576
2024-02-28,1505.0649917125702
2024-02-29,2005.3749992847443
2024-03-01,1202.260005235672
2024-03-02,1061.3449971675873
2024-03-03,1133.539999961853
2024-03-04,1005.7900027632713
2024-03-05,922.3900074958801
2024-03-06,948.9749963283539
2024-03-07,1057.4000005722046
2024-03-08,758.694995880127
2024-03-09,569.589998960495
2024-03-10,684.235002040863
2024-03-11,1019.9800012111664
2024-03-12,691.6949977874756
2024-03-13,753.704998254776
2024-03-14,1139.5249996185303
2024-03-15,535.9749991893768
